link,flag
http://www.buzzfeed.com/lilyboo/the-true-meaning-of-friendship-538l,0
http://www.buzzfeed.com/jpmoore/matthew-broderick-will-reprise-his-role-as-ferris,1
http://thechive.com/2012/01/24/daily-afternoon-randomness-48-photos-59/,1
http://www.buzzfeed.com/whitneyjefferson/rome-fashion-weeks-uniboob-dress,1
http://www.buzzfeed.com/daves4/reasons-why-this-month-is-going-to-be-the-best-mon,0
http://www.buzzfeed.com/katienotopoulos/what-is-a-furry,1
http://www.buzzfeed.com/buzz/just-launched-01-25-2012-14-7,1
http://www.buzzfeed.com/scott/livestream-ghost-hunt,1
http://www.buzzfeed.com/jpmoore/the-greatest-hits-of-the-hulk-hogan-sex-tape,1
http://www.buzzfeed.com/jpmoore/dave-grohl-backs-down-from-his-awesome-grammy-spee,1
http://www.buzzfeed.com/daves4/ways-to-make-the-world-a-better-place,0
http://www.buzzfeed.com/corporatewhore/family-portrait-nsfw-5mba,1
http://www.buzzfeed.com/donnad/aziz-ansari-overhears-50-cents-grapefruit-con,1
http://www.foxnews.com/entertainment/2012/02/03/new-lol-film-clip-shows-miley-cyrus-in-first-onscreen-sex-scene/,1
http://www.buzzfeed.com/donnad/worlds-first-extreme-cyclist,0
http://www.buzzfeed.com/gavon/a-chihuaha-dressed-as-a-donkey,0
http://buzzworthy.mtv.com/2012/02/06/katharine-mcphee-gq-magazine-smash,1
http://www.buzzfeed.com/peggy/landa-2,1
http://www.buzzfeed.com/daves4/animals-that-have-made-a-huge-mistake,0
http://www.buzzfeed.com/daves4/toad-from-super-mario-bros-is-actually-bald,0
