HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.site1,Input.site2,Input.site3,Answer.Q1,Answer.Q2,Answer.Q3,Approve,Reject
202M05BMJTUH3YT0SR0RK7S51APKFD,2YFVHVKCJ011P4YOI90K0W618RB68Y,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.06 ,Sat Dec 07 18:46:38 GMT 2013,5,BatchId:1353817;,3600,172800,Sun Dec 08 18:46:38 GMT 2013,,,2WU5L8I9NZW6MGQQNGVQ67T8JG7KUL,AHP3TKMY58D8Z,Submitted,Sat Dec 07 18:54:25 GMT 2013,Sat Dec 07 18:54:47 GMT 2013,Mon Dec 09 10:54:47 PST 2013,,,,22,0% (0/0),0% (0/0),0% (0/0),http://www.buzzfeed.com/mjs538/40-amazing-grilled-cheese-sandwich-recipes#4766286582985850204,http://www.buzzfeed.com/paulaersly/katniss-everdeens-guide-to-black-friday-shopping#4769374883186930765,http://www.buzzfeed.com/maycie/real-life-walter-white-meth-cook-alabama-vice#4774894301174849860,0,0,1,,
20DCNHMVHVKCO2SLJ4Y4T79KVKU42N,2YFVHVKCJ011P4YOI90K0W618RB68Y,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.06 ,Sat Dec 07 18:46:33 GMT 2013,5,BatchId:1353817;,3600,172800,Sun Dec 08 18:46:33 GMT 2013,,,277B0HFL42J1Q0WSA9T7W0IGSREL0S,AHP3TKMY58D8Z,Submitted,Sat Dec 07 21:16:00 GMT 2013,Sat Dec 07 21:16:21 GMT 2013,Mon Dec 09 13:16:21 PST 2013,,,,21,0% (0/0),0% (0/0),0% (0/0),http://www.buzzfeed.com/peggy/brilliant-packaging-designs-that-will-blow-your-mind#-8702496308746528835,http://www.buzzfeed.com/perpetua/nine-inch-nails-tension#-8709703020200816723,http://www.buzzfeed.com/miriamelder/watch-this-indian-actress-shut-down-a-female-journalist-for#-8686174447235761984,0,0,1,,
20DCNHMVHVKCO2SLJ4Y4T79KVKU42N,2YFVHVKCJ011P4YOI90K0W618RB68Y,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.06 ,Sat Dec 07 18:46:33 GMT 2013,5,BatchId:1353817;,3600,172800,Sun Dec 08 18:46:33 GMT 2013,,,2MKTMOFXRDS4NESYXFEXTFM1EHXSV3,A1SFABJ4NX5DFY,Submitted,Sat Dec 07 20:27:50 GMT 2013,Sat Dec 07 20:28:19 GMT 2013,Mon Dec 09 12:28:19 PST 2013,,,,29,0% (0/0),0% (0/0),0% (0/0),http://www.buzzfeed.com/peggy/brilliant-packaging-designs-that-will-blow-your-mind#-8702496308746528835,http://www.buzzfeed.com/perpetua/nine-inch-nails-tension#-8709703020200816723,http://www.buzzfeed.com/miriamelder/watch-this-indian-actress-shut-down-a-female-journalist-for#-8686174447235761984,0,0,0,,
20EKUDD8XMB3V50JZDXU3O6T92KDOG,2YFVHVKCJ011P4YOI90K0W618RB68Y,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.06 ,Sat Dec 07 18:46:29 GMT 2013,5,BatchId:1353817;,3600,172800,Sun Dec 08 18:46:29 GMT 2013,,,2EUJ1LY58B72COR2FHBHN16YS017S3,A198SS8SV0LWKB,Submitted,Sun Dec 08 00:43:24 GMT 2013,Sun Dec 08 00:44:54 GMT 2013,Mon Dec 09 16:44:54 PST 2013,,,,90,0% (0/0),0% (0/0),0% (0/0),http://www.buzzfeed.com/mrbriceno/40-things-we-learned-from-the-x-files-gpsu#-4954639704194800817,http://www.buzzfeed.com/emofly/clever-gifts-for-food-lovers#-4981913129838894116,http://www.buzzfeed.com/erikmalinowski/14-guaranteed-facts-about-tom-brady-and-peyton-mannings-14th#-4988405550691002453,0,0,0,,
20I11K274J79PSNQ0AE4GUXFH1SFDV,2YFVHVKCJ011P4YOI90K0W618RB68Y,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.06 ,Sat Dec 07 18:46:34 GMT 2013,5,BatchId:1353817;,3600,172800,Sun Dec 08 18:46:34 GMT 2013,,,2I6R9Y8TNKIM4UDPJH8SCOM02NN8VG,A1SFABJ4NX5DFY,Submitted,Sat Dec 07 19:00:42 GMT 2013,Sat Dec 07 19:01:32 GMT 2013,Mon Dec 09 11:01:32 PST 2013,,,,50,0% (0/0),0% (0/0),0% (0/0),http://www.buzzfeed.com/perpetua/classic-albums-came-out-on-the-same-day#2288920561644302304,http://www.buzzfeed.com/whitneyjefferson/amanda-bynes-is-out-of-treatment-and-enrolling-in-school#2259216478206452719,http://www.buzzfeed.com/simoncrerar/sizzling-photos-of-aussie-firefighters#2296675253551757422,0,0,1,,
20I11K274J79PSNQ0AE4GUXFH1SFDV,2YFVHVKCJ011P4YOI90K0W618RB68Y,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.06 ,Sat Dec 07 18:46:34 GMT 2013,5,BatchId:1353817;,3600,172800,Sun Dec 08 18:46:34 GMT 2013,,,2S2A2SEIUUU05QH4JCVISS8SF27QQU,A198SS8SV0LWKB,Submitted,Sun Dec 08 00:56:40 GMT 2013,Sun Dec 08 01:00:05 GMT 2013,Mon Dec 09 17:00:05 PST 2013,,,,205,0% (0/0),0% (0/0),0% (0/0),http://www.buzzfeed.com/perpetua/classic-albums-came-out-on-the-same-day#2288920561644302304,http://www.buzzfeed.com/whitneyjefferson/amanda-bynes-is-out-of-treatment-and-enrolling-in-school#2259216478206452719,http://www.buzzfeed.com/simoncrerar/sizzling-photos-of-aussie-firefighters#2296675253551757422,0,0,1,,
20R2NJKM05BMOVL1XYTG3P9RFVHBGK,2YFVHVKCJ011P4YOI90K0W618RB68Y,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.06 ,Sat Dec 07 18:46:36 GMT 2013,5,BatchId:1353817;,3600,172800,Sun Dec 08 18:46:36 GMT 2013,,,2QCCCVLL3CA38O8UOSVCJNQUK538Y5,A198SS8SV0LWKB,Submitted,Sun Dec 08 00:58:21 GMT 2013,Sun Dec 08 01:03:44 GMT 2013,Mon Dec 09 17:03:44 PST 2013,,,,323,0% (0/0),0% (0/0),0% (0/0),http://www.buzzfeed.com/skarlan/dianna-agron-becomes-brandon-flowers-in-the-killers-new-musi#3233833663621762210,http://www.buzzfeed.com/johnstanton/25-house-democrats-to-white-house-halt-all-deportations#3234720533625221399,http://www.buzzfeed.com/ryanhatesthis/people-that-prove-doitforthevine-has-gone-way-too-far#3268853060662638418,0,0,0,,
21ICOK2JE1M7UMBTKTN6YZAC5S9UNR,2YFVHVKCJ011P4YOI90K0W618RB68Y,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.06 ,Sat Dec 07 18:46:28 GMT 2013,5,BatchId:1353817;,3600,172800,Sun Dec 08 18:46:28 GMT 2013,,,2ZBWKUDD8XMB8SUTY2264TO66B9CNC,A1SFABJ4NX5DFY,Submitted,Sat Dec 07 20:25:01 GMT 2013,Sat Dec 07 20:25:17 GMT 2013,Mon Dec 09 12:25:17 PST 2013,,,,16,0% (0/0),0% (0/0),0% (0/0),http://www.buzzfeed.com/tonymerevick/leading-russian-gay-activists-fined-under-federal-propaganda#-4119723926632057541,http://www.buzzfeed.com/lyapalater/the-best-moments-from-miley-cyrus-snl-appearance#-4107616815113427725,http://www.buzzfeed.com/jamesarkin/michigan-senate-candidate-says-government-should-be-servant#-4105489907543723512,1,0,0,,
21K74J79KQW66AEO5WOFMD45202HJ9,2YFVHVKCJ011P4YOI90K0W618RB68Y,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.06 ,Sat Dec 07 18:46:37 GMT 2013,5,BatchId:1353817;,3600,172800,Sun Dec 08 18:46:37 GMT 2013,,,25EEC1PC6SK9WLZPN19ZOHMANWCO05,A2VRQML8Q3XYP4,Submitted,Sat Dec 07 18:47:51 GMT 2013,Sat Dec 07 18:48:23 GMT 2013,Mon Dec 09 10:48:23 PST 2013,,,,32,0% (0/0),0% (0/0),0% (0/0),http://www.buzzfeed.com/antwaunsargent/most-adorable-beyonce-and-jay-z-moments-of-2013#4640931701995529606,http://www.buzzfeed.com/mrloganrhoades/this-crazy-dancing-grandpa-is-the-best-nfl-cheerleader#4593073767304635847,http://www.buzzfeed.com/mackenziekruvant/best-things-that-happened-on-1d-day#4658132815766524186,0,0,0,,
227HIT3HVWAVPKXMMLH2B72ZEXFDLZ,2YFVHVKCJ011P4YOI90K0W618RB68Y,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.06 ,Sat Dec 07 18:46:26 GMT 2013,5,BatchId:1353817;,3600,172800,Sun Dec 08 18:46:26 GMT 2013,,,2F73Q0JG5TYMSENIA60FJSSSU4UJFO,ANMWPCK7TJMZ8,Submitted,Sat Dec 07 19:56:24 GMT 2013,Sat Dec 07 19:58:26 GMT 2013,Mon Dec 09 11:58:26 PST 2013,,,,122,0% (0/0),0% (0/0),0% (0/0),http://www.buzzfeed.com/lilis2/reasons-only-you-can-understand-your-job#-3283411073837418383,http://www.buzzfeed.com/mbvd/moments-from-hawaiis-first-day-of-marriage-equality-aloha#-3305371722450757503,http://www.buzzfeed.com/jenlewis/things-you-probably-didnt-know-about-dirty-dancing#-3307455412911221034,0,0,0,,
22ESBRI8IUB23W0SIJJTVB3L530G4J,2YFVHVKCJ011P4YOI90K0W618RB68Y,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.06 ,Sat Dec 07 18:46:19 GMT 2013,5,BatchId:1353817;,3600,172800,Sun Dec 08 18:46:19 GMT 2013,,,2B4STMOFXRDS9K3LD04N7JFME80RUK,A3HSMUPSPOKD0M,Submitted,Sat Dec 07 18:58:43 GMT 2013,Sat Dec 07 18:59:07 GMT 2013,Mon Dec 09 10:59:07 PST 2013,,,,24,0% (0/0),0% (0/0),0% (0/0),http://www.buzzfeed.com/notmonroe/19-ways-to-flavor-popcorn-gg32#8135290078952364796,http://www.buzzfeed.com/johnstanton/irish-government-launches-campaign-for-new-immigration-law-i#8164995067997161386,http://www.buzzfeed.com/adamdavis/show-us-the-last-thing-you-searched-for-on-your-phone#8144019044680647137,0,0,0,,
