HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.site1,Input.site2,Input.site3,Answer.Q1,Answer.Q2,Answer.Q3,Approve,Reject
27QH88MQU6L5TDMWH3IX74AIO22UB7,2QDQW618N46U2H3X37OCOTNDSRZPNA,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.03 ,Fri Dec 06 08:04:28 GMT 2013,3,BatchId:1352475;,3600,172800,Sat Dec 07 08:04:28 GMT 2013,,,206OZFYQS1CSYOFZWT4SEIC1R3QJMB,A3E5ET7SA00PP8,Approved,Fri Dec 06 14:40:14 GMT 2013,Fri Dec 06 14:43:24 GMT 2013,Sun Dec 08 06:43:24 PST 2013,Sat Dec 07 17:58:39 PST 2013,,,190,100% (23/23),100% (23/23),100% (23/23),http://www.buzzfeed.com/emilyhennen/miley-cyrus-shocks-us-once-again#-646121437820297174,http://www.buzzfeed.com/meganm15/people-who-dont-get-how-lucky-they-are-to-be-meeting-a-sloth#3052860071661386557,http://www.buzzfeed.com/whitneyjefferson/jay-z-and-beyonce-are-going-vegan-for-22-days#-6926170022109230193,1,0,0,,
27QH88MQU6L5TDMWH3IX74AIO22UB7,2QDQW618N46U2H3X37OCOTNDSRZPNA,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.03 ,Fri Dec 06 08:04:28 GMT 2013,3,BatchId:1352475;,3600,172800,Sat Dec 07 08:04:28 GMT 2013,,,2N9DM25L8I9N4YX1D1XOO4QWKYCHRJ,A14PFRHG0A2YY9,Approved,Fri Dec 06 10:19:22 GMT 2013,Fri Dec 06 10:22:31 GMT 2013,Sun Dec 08 02:22:31 PST 2013,Sat Dec 07 17:58:43 PST 2013,,,189,100% (26/26),100% (26/26),100% (26/26),http://www.buzzfeed.com/emilyhennen/miley-cyrus-shocks-us-once-again#-646121437820297174,http://www.buzzfeed.com/meganm15/people-who-dont-get-how-lucky-they-are-to-be-meeting-a-sloth#3052860071661386557,http://www.buzzfeed.com/whitneyjefferson/jay-z-and-beyonce-are-going-vegan-for-22-days#-6926170022109230193,1,0,0,,
27QH88MQU6L5TDMWH3IX74AIO22UB7,2QDQW618N46U2H3X37OCOTNDSRZPNA,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.03 ,Fri Dec 06 08:04:28 GMT 2013,3,BatchId:1352475;,3600,172800,Sat Dec 07 08:04:28 GMT 2013,,,2ORZ2MIKMN9UDR0I2AKW6XI35ZC9QU,A2N7I0331X72Z7,Approved,Fri Dec 06 14:58:05 GMT 2013,Fri Dec 06 14:59:01 GMT 2013,Sun Dec 08 06:59:01 PST 2013,Sat Dec 07 17:58:45 PST 2013,,,56,100% (7/7),100% (7/7),100% (7/7),http://www.buzzfeed.com/emilyhennen/miley-cyrus-shocks-us-once-again#-646121437820297174,http://www.buzzfeed.com/meganm15/people-who-dont-get-how-lucky-they-are-to-be-meeting-a-sloth#3052860071661386557,http://www.buzzfeed.com/whitneyjefferson/jay-z-and-beyonce-are-going-vegan-for-22-days#-6926170022109230193,1,0,0,,
2Z2MN9U8P9Y3DVNGWKUS4YIM56NVEW,2QDQW618N46U2H3X37OCOTNDSRZPNA,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.03 ,Fri Dec 06 08:04:28 GMT 2013,3,BatchId:1352475;,3600,172800,Sat Dec 07 08:04:28 GMT 2013,,,2LJI8IUB2YU9DL8CSN23V0FBWEWJ71,A3E5ET7SA00PP8,Approved,Fri Dec 06 14:55:28 GMT 2013,Fri Dec 06 15:06:30 GMT 2013,Sun Dec 08 07:06:30 PST 2013,Sat Dec 07 17:58:38 PST 2013,,,662,100% (23/23),100% (23/23),100% (23/23),http://www.buzzfeed.com/ellievhall/this-touching-video-of-a-premature-babys-first-year-will-mak#-4177197833201190607,http://www.buzzfeed.com/alexnaidus/this-is-the-best-advice-to-a-homophobic-parent-thats-ever-be#3052858071653386552,http://www.foxnews.com/entertainment/2012/02/03/new-lol-film-clip-shows-miley-cyrus-in-first-onscreen-sex-scene/#2314062222118390709,0,1,1,,
2S3YHVI44OS2PNLSCP5Z2BAPAYX4YA,2QDQW618N46U2H3X37OCOTNDSRZPNA,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.03 ,Fri Dec 06 08:04:28 GMT 2013,3,BatchId:1352475;,3600,172800,Sat Dec 07 08:04:28 GMT 2013,,,2CBENLVWJ5OPG2PFF1ZYWWB7RUCT18,A16G716K9428HM,Approved,Fri Dec 06 09:55:15 GMT 2013,Fri Dec 06 09:55:52 GMT 2013,Sun Dec 08 01:55:52 PST 2013,Sat Dec 07 17:58:35 PST 2013,,,37,100% (7/7),100% (7/7),100% (7/7),http://www.buzzfeed.com/josephbernstein/this-is-the-most-uncomfortable-thing-in-the-history-of-the-i#-7839385854446376,http://thechive.com/2012/01/24/daily-afternoon-randomness-48-photos-59/#8354081563276704561,http://www.buzzfeed.com/adambvary/paul-walker-death-fast-and-furious-7#5850040316387904634,1,0,0,,
2S3YHVI44OS2PNLSCP5Z2BAPAYX4YA,2QDQW618N46U2H3X37OCOTNDSRZPNA,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.03 ,Fri Dec 06 08:04:28 GMT 2013,3,BatchId:1352475;,3600,172800,Sat Dec 07 08:04:28 GMT 2013,,,2M70CP5KXPTISK9HXIVPW7NYJBAYZU,A14PFRHG0A2YY9,Approved,Fri Dec 06 11:54:25 GMT 2013,Fri Dec 06 11:57:22 GMT 2013,Sun Dec 08 03:57:22 PST 2013,Sat Dec 07 17:58:41 PST 2013,,,177,100% (26/26),100% (26/26),100% (26/26),http://www.buzzfeed.com/josephbernstein/this-is-the-most-uncomfortable-thing-in-the-history-of-the-i#-7839385854446376,http://thechive.com/2012/01/24/daily-afternoon-randomness-48-photos-59/#8354081563276704561,http://www.buzzfeed.com/adambvary/paul-walker-death-fast-and-furious-7#5850040316387904634,1,1,0,,
2B8IHPCGJ2D26QUG4Z80TPPSNPF934,2QDQW618N46U2H3X37OCOTNDSRZPNA,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.03 ,Fri Dec 06 08:04:28 GMT 2013,3,BatchId:1352475;,3600,172800,Sat Dec 07 08:04:28 GMT 2013,,,2NRXR24SMEZZ7O94LP0UIP9YGDW1IZ,A14PFRHG0A2YY9,Approved,Fri Dec 06 09:38:43 GMT 2013,Fri Dec 06 09:45:01 GMT 2013,Sun Dec 08 01:45:01 PST 2013,Sat Dec 07 17:58:40 PST 2013,,,378,100% (26/26),100% (26/26),100% (26/26),http://www.buzzfeed.com/kmallikarjuna/times-coulsons-superpower-was-sass#3052849071774386998,http://www.buzzfeed.com/falloutboy/16-reasons-why-you-need-to-watch-the-next-fall-out-gpq9#-5092792511260848169,http://www.buzzfeed.com/michaelrusch/unconscious-denver-nuggets-mascot-lowered-onto-game-floor-ho#-7839385854446376,0,1,1,,
2Y4VHVKCJ011P4YOI90K0W61DAZ68I,2QDQW618N46U2H3X37OCOTNDSRZPNA,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.03 ,Fri Dec 06 08:04:28 GMT 2013,3,BatchId:1352475;,3600,172800,Sat Dec 07 08:04:28 GMT 2013,,,2BWIXKO2L92HJENU5ZUYYCCFDHREDS,A16G716K9428HM,Approved,Fri Dec 06 09:54:50 GMT 2013,Fri Dec 06 09:55:14 GMT 2013,Sun Dec 08 01:55:14 PST 2013,Sat Dec 07 17:58:39 PST 2013,,,24,100% (7/7),100% (7/7),100% (7/7),http://www.buzzfeed.com/donnad/this-is-what-earth-will-look-like-if-all-the-ice-melts#-509539383362783442,http://www.buzzfeed.com/lyapalater/patrick-stewart-and-ian-mckellen-have-the-ultimate-friendsgi#3052849071774386998,http://www.buzzfeed.com/scott/livestream-ghost-hunt#-1495230934636648966,0,0,0,,
2Y4VHVKCJ011P4YOI90K0W61DAZ68I,2QDQW618N46U2H3X37OCOTNDSRZPNA,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.03 ,Fri Dec 06 08:04:28 GMT 2013,3,BatchId:1352475;,3600,172800,Sat Dec 07 08:04:28 GMT 2013,,,2IQ1THV8ER9YDVE4HOQSW5KFUXD2P1,A2QBRIK4G0WCBE,Approved,Fri Dec 06 13:37:24 GMT 2013,Fri Dec 06 13:38:06 GMT 2013,Sun Dec 08 05:38:06 PST 2013,Sat Dec 07 17:58:45 PST 2013,,,42,100% (4/4),100% (4/4),100% (4/4),http://www.buzzfeed.com/donnad/this-is-what-earth-will-look-like-if-all-the-ice-melts#-509539383362783442,http://www.buzzfeed.com/lyapalater/patrick-stewart-and-ian-mckellen-have-the-ultimate-friendsgi#3052849071774386998,http://www.buzzfeed.com/scott/livestream-ghost-hunt#-1495230934636648966,0,0,0,,
2Y4VHVKCJ011P4YOI90K0W61DAZ68I,2QDQW618N46U2H3X37OCOTNDSRZPNA,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.03 ,Fri Dec 06 08:04:28 GMT 2013,3,BatchId:1352475;,3600,172800,Sat Dec 07 08:04:28 GMT 2013,,,2R5M25L8I9NZ188YY8FEEQW76D9SIA,A14PFRHG0A2YY9,Approved,Fri Dec 06 09:45:06 GMT 2013,Fri Dec 06 09:47:20 GMT 2013,Sun Dec 08 01:47:20 PST 2013,Sat Dec 07 17:58:40 PST 2013,,,134,100% (26/26),100% (26/26),100% (26/26),http://www.buzzfeed.com/donnad/this-is-what-earth-will-look-like-if-all-the-ice-melts#-509539383362783442,http://www.buzzfeed.com/lyapalater/patrick-stewart-and-ian-mckellen-have-the-ultimate-friendsgi#3052849071774386998,http://www.buzzfeed.com/scott/livestream-ghost-hunt#-1495230934636648966,0,0,0,,
