HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.site1,Input.site2,Input.site3,Answer.Q1,Answer.Q2,Answer.Q3,Approve,Reject
2OV1X3V0FK0CTMT3D3D7ZKK9QG2MF4,2YFVHVKCJ011P4YOI90K0W618RB68Y,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.06 ,Sun Dec 08 20:04:20 GMT 2013,4,BatchId:1354590;,3600,172800,Mon Dec 09 20:04:20 GMT 2013,,,21U4SMEZZ2MIPOETTAG9838T95JL41,A3E5ET7SA00PP8,Submitted,Mon Dec 09 00:55:21 GMT 2013,Mon Dec 09 01:14:38 GMT 2013,Tue Dec 10 17:14:38 PST 2013,,,,1157,100% (95/95),100% (95/95),100% (95/95),http://www.buzzfeed.com/desmondm/chris-lilley-just-gave-the-most-quiche-ama-of-the-5mf6#-8457433020709899466,http://www.buzzfeed.com/food52/how-to-make-best-pimiento-cheese#-6987873489464407387,http://www.buzzfeed.com/elongreen/things-mitt-romney-loves-4yyh#-7585707407047771043,0,0,0,,
2OV1X3V0FK0CTMT3D3D7ZKK9QG2MF4,2YFVHVKCJ011P4YOI90K0W618RB68Y,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.06 ,Sun Dec 08 20:04:20 GMT 2013,4,BatchId:1354590;,3600,172800,Mon Dec 09 20:04:20 GMT 2013,,,2GKK9RJ85OZI4G869CGMYOQ5R5Z7VE,ARB4PAABFRZA4,Submitted,Sun Dec 08 20:06:41 GMT 2013,Sun Dec 08 20:07:34 GMT 2013,Tue Dec 10 12:07:34 PST 2013,,,,53,100% (128/128),100% (128/128),100% (128/128),http://www.buzzfeed.com/desmondm/chris-lilley-just-gave-the-most-quiche-ama-of-the-5mf6#-8457433020709899466,http://www.buzzfeed.com/food52/how-to-make-best-pimiento-cheese#-6987873489464407387,http://www.buzzfeed.com/elongreen/things-mitt-romney-loves-4yyh#-7585707407047771043,0,0,0,,
2OV1X3V0FK0CTMT3D3D7ZKK9QG2MF4,2YFVHVKCJ011P4YOI90K0W618RB68Y,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.06 ,Sun Dec 08 20:04:20 GMT 2013,4,BatchId:1354590;,3600,172800,Mon Dec 09 20:04:20 GMT 2013,,,2MPKNQY2RCJKB5QFD58RAKUINZJS3P,A16G716K9428HM,Submitted,Sun Dec 08 20:35:00 GMT 2013,Sun Dec 08 20:35:30 GMT 2013,Tue Dec 10 12:35:30 PST 2013,,,,30,100% (12/12),100% (12/12),100% (12/12),http://www.buzzfeed.com/desmondm/chris-lilley-just-gave-the-most-quiche-ama-of-the-5mf6#-8457433020709899466,http://www.buzzfeed.com/food52/how-to-make-best-pimiento-cheese#-6987873489464407387,http://www.buzzfeed.com/elongreen/things-mitt-romney-loves-4yyh#-7585707407047771043,0,0,0,,
2OV1X3V0FK0CTMT3D3D7ZKK9QG2MF4,2YFVHVKCJ011P4YOI90K0W618RB68Y,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.06 ,Sun Dec 08 20:04:20 GMT 2013,4,BatchId:1354590;,3600,172800,Mon Dec 09 20:04:20 GMT 2013,,,2O8OOGQSCM6IFCTCDKLU400O3TCGGJ,A2F0NZQ8F9ON8C,Submitted,Mon Dec 09 04:07:05 GMT 2013,Mon Dec 09 04:10:23 GMT 2013,Tue Dec 10 20:10:23 PST 2013,,,,198,100% (6/6),100% (6/6),100% (6/6),http://www.buzzfeed.com/desmondm/chris-lilley-just-gave-the-most-quiche-ama-of-the-5mf6#-8457433020709899466,http://www.buzzfeed.com/food52/how-to-make-best-pimiento-cheese#-6987873489464407387,http://www.buzzfeed.com/elongreen/things-mitt-romney-loves-4yyh#-7585707407047771043,0,0,0,,
2A4OFXRDS4IC6GPXMZAFW11A771UXV,2YFVHVKCJ011P4YOI90K0W618RB68Y,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.06 ,Sun Dec 08 20:04:20 GMT 2013,4,BatchId:1354590;,3600,172800,Mon Dec 09 20:04:20 GMT 2013,,,28O2GTP9RA7SAYDL5BPSYF70WVRQVV,ARB4PAABFRZA4,Submitted,Sun Dec 08 20:17:50 GMT 2013,Sun Dec 08 20:18:48 GMT 2013,Tue Dec 10 12:18:48 PST 2013,,,,58,100% (128/128),100% (128/128),100% (128/128),http://www.buzzfeed.com/mattbellassai/reasons-sam-claflin-is-the-hunger-games-tribute-of-your-d#-5371590273440408315,http://www.buzzfeed.com/briangalindo/listen-to-kurt-cobains-haunting-interview-about-alienation-i#-4873907915320532128,http://www.buzzfeed.com/antwaunsargent/most-adorable-beyonce-and-jay-z-moments-of-2013#4640931701995529606,0,0,0,,
2A4OFXRDS4IC6GPXMZAFW11A771UXV,2YFVHVKCJ011P4YOI90K0W618RB68Y,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.06 ,Sun Dec 08 20:04:20 GMT 2013,4,BatchId:1354590;,3600,172800,Mon Dec 09 20:04:20 GMT 2013,,,28TTHV8ER9Y8YPB2L1JMFKFH5BYQ3Y,A2ZBYVQLDUZOV7,Submitted,Sun Dec 08 20:04:23 GMT 2013,Sun Dec 08 20:04:48 GMT 2013,Tue Dec 10 12:04:48 PST 2013,,,,25,100% (145/145),100% (145/145),100% (145/145),http://www.buzzfeed.com/mattbellassai/reasons-sam-claflin-is-the-hunger-games-tribute-of-your-d#-5371590273440408315,http://www.buzzfeed.com/briangalindo/listen-to-kurt-cobains-haunting-interview-about-alienation-i#-4873907915320532128,http://www.buzzfeed.com/antwaunsargent/most-adorable-beyonce-and-jay-z-moments-of-2013#4640931701995529606,0,0,0,,
2A4OFXRDS4IC6GPXMZAFW11A771UXV,2YFVHVKCJ011P4YOI90K0W618RB68Y,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.06 ,Sun Dec 08 20:04:20 GMT 2013,4,BatchId:1354590;,3600,172800,Mon Dec 09 20:04:20 GMT 2013,,,29YKW4ZMAZHHWTCZP2FNXVRHETF9IJ,A26L95RMC7I9TB,Submitted,Mon Dec 09 06:38:36 GMT 2013,Mon Dec 09 06:39:58 GMT 2013,Tue Dec 10 22:39:58 PST 2013,,,,82,100% (17/17),100% (17/17),100% (17/17),http://www.buzzfeed.com/mattbellassai/reasons-sam-claflin-is-the-hunger-games-tribute-of-your-d#-5371590273440408315,http://www.buzzfeed.com/briangalindo/listen-to-kurt-cobains-haunting-interview-about-alienation-i#-4873907915320532128,http://www.buzzfeed.com/antwaunsargent/most-adorable-beyonce-and-jay-z-moments-of-2013#4640931701995529606,0,0,0,,
2A4OFXRDS4IC6GPXMZAFW11A771UXV,2YFVHVKCJ011P4YOI90K0W618RB68Y,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.06 ,Sun Dec 08 20:04:20 GMT 2013,4,BatchId:1354590;,3600,172800,Mon Dec 09 20:04:20 GMT 2013,,,2NGBDDP8PJWKZF4SWO23039ZDKH5G9,A3E5ET7SA00PP8,Submitted,Sun Dec 08 20:30:59 GMT 2013,Sun Dec 08 20:32:20 GMT 2013,Tue Dec 10 12:32:20 PST 2013,,,,81,100% (95/95),100% (95/95),100% (95/95),http://www.buzzfeed.com/mattbellassai/reasons-sam-claflin-is-the-hunger-games-tribute-of-your-d#-5371590273440408315,http://www.buzzfeed.com/briangalindo/listen-to-kurt-cobains-haunting-interview-about-alienation-i#-4873907915320532128,http://www.buzzfeed.com/antwaunsargent/most-adorable-beyonce-and-jay-z-moments-of-2013#4640931701995529606,0,0,0,,
2QHJMJUNU8LZBTYKF7I9ID8J8KKH1P,2YFVHVKCJ011P4YOI90K0W618RB68Y,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.06 ,Sun Dec 08 20:04:20 GMT 2013,4,BatchId:1354590;,3600,172800,Mon Dec 09 20:04:20 GMT 2013,,,298KPEIB9BAWQUDHOSWV7UD3Z220XB,ARB4PAABFRZA4,Submitted,Sun Dec 08 20:07:27 GMT 2013,Sun Dec 08 20:10:53 GMT 2013,Tue Dec 10 12:10:53 PST 2013,,,,206,100% (128/128),100% (128/128),100% (128/128),http://www.buzzfeed.com/lyapalater/miley-and-her-virtual-kitten-won-the-amas-the-internet-life#1724599965365575269,http://www.buzzfeed.com/katienotopoulos/proof-that-no-one-watches-porn-on-christmas#-7560803731709592892,http://www.buzzfeed.com/kevintang/10-voicemails-you-get-from-mom#2803777866920126102,0,0,0,,
2QHJMJUNU8LZBTYKF7I9ID8J8KKH1P,2YFVHVKCJ011P4YOI90K0W618RB68Y,Decide if a website has sensitive content (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Visit and review three website. For each website, decide if the content is sensitive or not.",categorization,$0.06 ,Sun Dec 08 20:04:20 GMT 2013,4,BatchId:1354590;,3600,172800,Mon Dec 09 20:04:20 GMT 2013,,,2DPUYT3DHJHP9D4XJIVYIRSXM6MT0T,A3E5ET7SA00PP8,Submitted,Sun Dec 08 23:45:56 GMT 2013,Sun Dec 08 23:46:43 GMT 2013,Tue Dec 10 15:46:43 PST 2013,,,,47,100% (95/95),100% (95/95),100% (95/95),http://www.buzzfeed.com/lyapalater/miley-and-her-virtual-kitten-won-the-amas-the-internet-life#1724599965365575269,http://www.buzzfeed.com/katienotopoulos/proof-that-no-one-watches-porn-on-christmas#-7560803731709592892,http://www.buzzfeed.com/kevintang/10-voicemails-you-get-from-mom#2803777866920126102,0,0,0,,
