site1,site2,site3
http://www.buzzfeed.com/skarlan/inspiring-words-from-the-influential-women-who-came-out-in-2#-2421391434124847224,http://www.buzzfeed.com/mackenziekruvant/hashtags-to-leave-in-2013#-2418924644726707625,http://www.buzzfeed.com/abi/tower-force-pyw#-2395897997924268800
http://www.buzzfeed.com/samimain/signs-youre-a-practicing-pescetarian#-2432503833265346469,http://www.buzzfeed.com/spenceralthouse/lets-play-wikipedia-names-your-band#-2464269583472541555,http://www.buzzfeed.com/hnigatu/theres-an-awesome-tumblr-devoted-to-creating-all-of-the-burg#-2457707880379687884
http://www.buzzfeed.com/hunterschwarz/obama-touts-entertainment-industry-at-dreamworks-stop#-248266385033868079,http://www.buzzfeed.com/briangalindo/21-vintage-postcards-of-krampus-that-will-haunt-your-dreams#-2495858108007478712,http://www.buzzfeed.com/bml/12-reasons-the-nba-will-always-be-better-than-college-basket#-251312791817974728
http://www.buzzfeed.com/kmallikarjuna/perfect-people-you-wanted-to-date-in-2013#-2638423926453671103,http://www.buzzfeed.com/tanyachen/reasons-why-potatoes-are-the-most-perfect-food#-2631239921171906124,http://www.buzzfeed.com/bennyjohnson/sugar-daddy-dating-website-targets-women-who-cant-afford-oba#-2515526790060474348
http://www.buzzfeed.com/tanyachen/the-best-taylor-swift-audience-dancing-of-all-time#-2654574102907642980,http://www.buzzfeed.com/javim2/typical-day-for-a-teenage-boy-in-the-late-90s-bw9q#-2650168615879163535,http://www.buzzfeed.com/erinchack/ever-wonder-what-happens-to-a-bears-butt-during-hibernation#-2672687464769145209
http://www.buzzfeed.com/chelseamarshall/the-most-awkward-dogs-of-2013#-269179511004571583,http://www.buzzfeed.com/summeranne/the-worst-person-in-the-world-will-pay-you-1500-to-find-him#-2698194971362419102,http://www.buzzfeed.com/ryanhatesthis/theres-a-guy-on-instagram-who-takes-photos-of-himself-wearin#-2693865955188574666
http://www.buzzfeed.com/skarlan/15-lessons-we-learned-from-tomboys-in-film-and-television#-2706380488261055078,http://www.buzzfeed.com/mikespohr/19-places-that-will-make-your-kids-dreams-come-true#-2719105396301301538,http://www.buzzfeed.com/mjs538/why-lizzie-and-gordo-were-the-most-perfect-couple-that-never#-2709193874158400518
http://www.buzzfeed.com/mjs538/for-everyone-who-has-had-a-come-to-jesus-moment-with-one-dir#-2752067290263807918,http://www.buzzfeed.com/katenocera/democrats-form-obamacare-strike-teams-to-sell-troubled-law#-2727837710549880142,http://www.buzzfeed.com/rachelzarrell/woman-to-hand-out-letters-calling-children-obese-halloween#-2757737891534681705
http://www.buzzfeed.com/andrewkaczynski/11-newspaper-front-pages-celebrating-the-end-of-prohibition#-2777439989148861570,http://www.buzzfeed.com/josephbernstein/it-turns-out-gay-porn-and-pokemon-have-way-more-in-common-th#-2871830393970842923,http://www.buzzfeed.com/bananastandard/20-little-victories-that-brighten-your-day-g03z#-2865936682698300795
http://www.buzzfeed.com/papergirl/15-gifts-for-the-science-lovers-on-your-list-aatq#-2875326842935986136,http://www.buzzfeed.com/lyapalater/17-times-in-2013-when-anne-hathaway-made-us-lose-our-faith-i#-2923152345915877524,http://www.buzzfeed.com/awesomer/greatest-dad-jokes-from-rick-grimes#-2903539658688602419
http://www.buzzfeed.com/sburpee/18-things-you-betta-work-for-bitch#-2974431170326208890,http://www.buzzfeed.com/expresident/the-cutest-tumblrs-in-the-world#-2937587582147550340,http://www.buzzfeed.com/johnstanton/congress-will-give-the-president-time-on-iran-but-not-much#-2956431348782323752
http://www.buzzfeed.com/mccarricksean/the-x-best-fantasy-books-of-the-year-fjmu#-3010914888842851704,http://www.buzzfeed.com/regajha/a-group-of-muslim-hipsters-made-a-video-thats-really-really#-3003014910900959523,http://www.buzzfeed.com/mjs538/things-ryan-gosling-did-in-2013-that-are-4234234234-billion#-3016126483060046125
http://www.buzzfeed.com/ryanjoeben/13-packing-peanuts-that-look-like-famous-celebriti-h9rx#-3084365191481474203,http://www.buzzfeed.com/mjs538/why-we-all-need-to-start-using-the-word-quiche#-3040541663457496517,http://www.buzzfeed.com/mattlynley/google-wallet-is-surprisingly-still-alive-and-kicking#-3058089711079004926
http://www.buzzfeed.com/andrewkaczynski/senate-hearing-will-explore-amazon-drones#-3094921393922987699,http://www.buzzfeed.com/mjkiebus/the-shocking-truth-behind-kobe-bryants-and-lionel-messis-reh#-3117296621036200540,http://www.buzzfeed.com/mlew15/29-truly-terrible-tattoos-h0se#-3111450482395674313
http://www.buzzfeed.com/emilyhennen/15-dogs-who-dont-give-a-crap-about-your-carpet#-3180552598305054169,http://www.buzzfeed.com/samimain/20-most-important-animal-vines-of-2013#-3174965849058657500,http://www.buzzfeed.com/ellievhall/prince-william-sings-livin-on-a-prayer-with-jon-bon-jovi-and#-3159300388873103397
http://www.buzzfeed.com/joshrobin/in-defense-of-bloombergs-metro-north-absence#-3186422606660886724,http://www.buzzfeed.com/tracyclayton/an-ode-to-rihanna-and-her-doobie-wrap#-3207525772210728930,http://www.buzzfeed.com/tnwhiskeywoman/ava-duvernay-is-used-to-being-her-own-shonda-rhimes#-3185931980057556633
http://www.buzzfeed.com/rosiegray/nrcc-removes-happy-holidays-is-what-liberals-say-shirt-from#-3239543663218172827,http://www.buzzfeed.com/adamdavis/examples-proving-we-need-to-be-more-careful-with-grammar#-3237206854881625420,http://www.buzzfeed.com/newu1671/31-times-daria-was-your-idol-cz0z#-3211592754151095695
http://www.buzzfeed.com/antwaunsargent/signs-you-are-a-new-teacher#-325104613332715028,http://www.buzzfeed.com/mjs538/why-the-jouberts-are-the-most-badass-couple-with-the-best-jo#-3247353078694293518,http://www.buzzfeed.com/summeranne/every-year-of-your-20s-ranked-from-worst-to-best#-3245063567207646258
http://www.buzzfeed.com/vnessln/things-parks-and-rec-taught-me-845e#-3255215833371672095,http://www.buzzfeed.com/adriancarrasquillo/this-arcade-fire-video-of-a-family-struggling-to-cope-with-t#-3259241224707334725,http://www.buzzfeed.com/ariellecalderon/surreal-places-to-visit-before-you-die#-3258030031353604895
http://www.buzzfeed.com/samimain/cute-cozies-your-tortoise-can-rock-this-winter#-327307531609293400,http://www.buzzfeed.com/ariellecalderon/reasons-marina-and-the-diamonds-should-always-be-on-your#-3270606932707513461,http://www.buzzfeed.com/tonymerevick/lgbt-media-advocacy-group-glaad-names-sarah-kate-ellis-new-p#-3277330115281762032
http://www.buzzfeed.com/lilis2/reasons-only-you-can-understand-your-job#-3283411073837418383,http://www.buzzfeed.com/mbvd/moments-from-hawaiis-first-day-of-marriage-equality-aloha#-3305371722450757503,http://www.buzzfeed.com/jenlewis/things-you-probably-didnt-know-about-dirty-dancing#-3307455412911221034
