site1,site2,site3
http://www.buzzfeed.com/samimain/this-pug-puppy-understands-how-much-you-need-to-go-home-for#-5035552041129532577,http://www.buzzfeed.com/tomphillips/ranking-every-episode-of-the-modern-doctor-who#5306799262934434395,http://www.buzzfeed.com/christinebyrne/next-level-appetizers#5451293688113997060
http://www.buzzfeed.com/antwaunsargent/reasons-why-corey-and-mrfeeny-had-the-best-student-teache#-6933429560601537695,http://www.buzzfeed.com/emofly/things-you-need-to-host-a-holiday-party#1762990375484287332,http://www.buzzfeed.com/bananastandard/20-little-victories-that-brighten-your-day-g03z#-2865936682698300795
http://www.buzzfeed.com/jordanzakarin/12-posters-that-totally-spoiled-the-movie#-5754097056416214876,http://www.buzzfeed.com/regajha/washington-dcs-metro-system-just-released-a-really-really-se#1658841042764692706,http://www.buzzfeed.com/lesterfeder/ikea-pulls-lesbian-couple-from-russian-edition-of-its-magazi#-3490201499528756022
http://www.buzzfeed.com/mccarricksean/x-reasons-why-cyclops-is-everyones-least-favo-fjmu#3537673694718944486,http://www.buzzfeed.com/ontheregna/18-times-italian-greyhounds-were-total-fashionista-ewt3#1959476703463722391,http://www.buzzfeed.com/justinabarca/45-best-vine-fails-of-2013#-5004616627533645309
http://www.buzzfeed.com/danoshinsky/why-the-auburn-missouri-winner-should-play-in-the-bcs-title#2665983729395442016,http://www.buzzfeed.com/matthewzeitlin/how-to-invest-like-warren-buffett#6069916933923994497,http://www.buzzfeed.com/erinlarosa/the-stages-of-thanksgiving-as-told-by-addams-family-value#1503468923499256229
http://www.buzzfeed.com/daves4/the-35-most-powerful-snapchats-of-2013#-9184594345746916699,http://www.buzzfeed.com/mylestanzer/the-story-of-hanukkah-as-told-by-israeli-sensation-eliad-coh#4008924623735203713,http://www.buzzfeed.com/donnad/science-fictions-that-became-science-facts-in-2013#-6800268996178382646
http://www.buzzfeed.com/lyapalater/9-celebrity-tweets-you-missed-today-468845#-8305354391589375865,http://www.buzzfeed.com/lyapalater/celebrity-tweets-you-missed-today-40659#2661524710893321675,http://www.buzzfeed.com/mylestanzer/you-have-to-watch-this-guy-sing-a-whitney-houston-classic-at#-6058547580264971639
http://www.buzzfeed.com/mrloganrhoades/this-crazy-dancing-grandpa-is-the-best-nfl-cheerleader#4593073767304635847,http://www.buzzfeed.com/mrloganrhoades/enormous-american-flag-rips-in-half-sparks-u-s-a-chant#8543979822081469623,http://www.buzzfeed.com/rosiegray/us-negotiators-raised-issue-of-detained-americans-during-ira#8033590663493442529
http://www.buzzfeed.com/adamdavis/theres-a-website-that-automatically-puts-nick-cages-face-on#-8290117979499611166,http://www.buzzfeed.com/krisandres/10-english-terms-essential-for-korean-pop-fans-6qn0#-7186483856391542038,http://www.buzzfeed.com/skarlan/cult-film-but-im-a-cheerleader-to-get-a-musical-makeover#-914840106635509429
http://www.buzzfeed.com/conzpreti/meet-michael-bubles-beautiful-argentine-wife#-6933149536825967358,http://www.buzzfeed.com/christinebyrne/delicious-gluten-free-breakfast-pastries#6442324747896735757,http://www.buzzfeed.com/rachelzarrell/chris-brown-arrested-after-hotel-brawl#-6955464222864787308
http://www.buzzfeed.com/skarlan/dianna-agron-becomes-brandon-flowers-in-the-killers-new-musi#3233833663621762210,http://www.buzzfeed.com/bml/a-rod-walks-out-of-mlb-hearing-over-bud-seligs-refusal-to-te#-8727579261153701678,http://www.buzzfeed.com/jamesarkin/michigan-senate-candidate-says-government-should-be-servant#-4105489907543723512
http://www.buzzfeed.com/jaimieetkin/10-movies-that-made-us-love-paul-walker#-672269550900465935,http://www.buzzfeed.com/maggiep18/15-times-west-side-story-made-good-things-better-h91t#-6981226352630413156,http://www.buzzfeed.com/tabathaleggett/items-of-clothing-that-00s-teens-will-never-wear-again#-41208051478090265
http://www.buzzfeed.com/joshrobin/in-defense-of-bloombergs-metro-north-absence#-3186422606660886724,http://www.buzzfeed.com/lyapalater/celebrity-instagrams-you-need-to-see-this-week-670#-4549287555711852331,http://www.buzzfeed.com/charliewarzel/how-to-make-your-computer-monitor-invisible-to-everyone-but#1250749577241569991
http://www.buzzfeed.com/hunterschwarz/look-at-everyones-faces-when-that-guy-started-heckling-obama#6019694002151707638,http://www.buzzfeed.com/rachelzarrell/survivors-of-sexual-assault-tell-the-numbers-behind-stories#-6794606203563609001,http://www.buzzfeed.com/ailbhemalone/9-british-craft-beers-you-must-try#1779226402630572407
http://www.buzzfeed.com/tonymerevick/illinois-governor-signs-marriage-equality-bill-into-law#-7894442206203921956,http://www.buzzfeed.com/josephbernstein/it-turns-out-gay-porn-and-pokemon-have-way-more-in-common-th#-2871830393970842923,http://www.buzzfeed.com/awesomer/trying-to-be-cute-on-the-internet-is-a-terri#-6966335722323574034
http://www.buzzfeed.com/mikespohr/why-monica-and-chandler-will-be-terrific-parents#-8076388071288154743,http://www.buzzfeed.com/andrewkaczynski/11-newspaper-front-pages-celebrating-the-end-of-prohibition#-2777439989148861570,http://www.buzzfeed.com/ariellecalderon/this-kid-dressed-as-harry-potter-and-went-to-penn-station-lo#1993659931819814350
http://www.buzzfeed.com/arianelange/ncis-guinness-record-with-a-234-hour-marathon#828948672341147422,http://www.buzzfeed.com/chelseamarshall/dogs-who-are-prepared-for-black-friday#-7172686241423853395,http://www.buzzfeed.com/chrisgeidner/boehner-says-i-do-to-gay-candidates-but-house-democrats-push#-8775272237062128561
http://www.buzzfeed.com/emilyhennen/9-photos-of-taylor-hanson-acting-like-a-celebrity-fangirl#8048490807619334384,http://www.buzzfeed.com/mylestanzer/24-problems-only-hairy-guys-will-understand#-7164622570902427881,http://www.buzzfeed.com/justinesharrock/why-does-it-cost-18-to-make-a-call-from-prison#5239862935239077675
http://www.buzzfeed.com/samimain/signs-youre-a-practicing-pescetarian#-2432503833265346469,http://www.buzzfeed.com/sapna/jc-penney-and-abercrombie-at-risk-of-getting-booted-out-of-s#-9127998605183317571,http://www.buzzfeed.com/mrloganrhoades/nhl-goalie-makes-specatcular-bicycle-kick-save#-7197833796569053485
http://www.buzzfeed.com/erikmalinowski/23-reasons-its-perfectly-ok-to-despise-the-st-louis-cardinal#348810829464910903,http://www.buzzfeed.com/kierawrr/18-reasons-to-be-grateful-this-thanksgiving-4gx1#3490544994422863215,http://www.buzzfeed.com/mathewg5/49-vegan-gluten-free-things-to-bake-in-decem-dst2#-5004058143085571274
http://www.buzzfeed.com/food52/greatest-pumpkin-recipes#9196296704409448229,http://www.buzzfeed.com/arianelange/a-ranking-of-the-hunger-games-chocolates#-8881075916903859628,http://www.buzzfeed.com/tasneemnashrulla/pope-francis-invites-a-man-who-brutally-stabbed-a-nun-to-dea#6467381653376093974
http://www.buzzfeed.com/skarlan/13-reasons-to-be-thankful-for-the-existance-of-billie-jean-k#-5760191723317737823,http://www.buzzfeed.com/erikmalinowski/police-investigating-homicide-in-arrowhead-stadium-parking-l#6380245529535363091,http://www.buzzfeed.com/louispeitzman/how-to-be-thankful-while-mourning-a-best-friend#1746163054128207632
http://www.buzzfeed.com/jtes/15-of-nelson-mandelas-most-inspiring-quotes#-8469626264237495653,http://www.buzzfeed.com/skarlan/this-british-skydiver-completed-his-100th-jump-completely-na#-8284189865691826760,http://www.buzzfeed.com/emilys49/19-cringe-worthy-christmas-movies-that-time-forgot#8286847556982334816
http://www.buzzfeed.com/catesevilla/40-things-only-internet-feminists-will-understand#-5754086760929396075,http://www.buzzfeed.com/rachelysanders/great-ways-to-cook-your-thanksgiving-turkey#-686088456849481677,http://www.buzzfeed.com/chelseamarshall/turkeys-who-just-want-to-be-your-friend#171575754141706472
http://www.buzzfeed.com/skarlan/gail-peck-is-the-reason-you-should-be-watching-rookie-blue#8563137349971319313,http://www.buzzfeed.com/jordanzakarin/celebrity-tv-interview-meltdowns#-8748796903521261147,http://www.buzzfeed.com/summeranne/the-worst-person-in-the-world-will-pay-you-1500-to-find-him#-2698194971362419102
http://www.buzzfeed.com/rachelysanders/gorgeous-gluten-free-vegan-thanksgiving-desserts#7241760416435886664,http://www.buzzfeed.com/leonoraepstein/watch-matilda-cast-members-reenact-scenes-as-grown-ups#-8780931740986480175,http://www.buzzfeed.com/spenceralthouse/lets-play-wikipedia-names-your-band#-2464269583472541555
http://www.buzzfeed.com/tabirakhter/14-signs-cheese-is-your-one-true-love#-3878334542273671243,http://www.buzzfeed.com/paulaersly/an-ode-to-hot-young-harrison-ford-may-he-rip#7248413851641146756,http://www.buzzfeed.com/hnigatu/theres-an-awesome-tumblr-devoted-to-creating-all-of-the-burg#-2457707880379687884
http://www.buzzfeed.com/mylestanzer/miss-new-yorks-comeback-is-going-to-take-a-bit-longer-than-e#-5771460699019202661,http://www.buzzfeed.com/kevintang/chinas-singles-day-may-be-the-worlds-largest-craziest-online#-5772217424959661418,http://www.buzzfeed.com/mackenziekruvant/best-things-that-happened-on-1d-day#4658132815766524186
http://www.buzzfeed.com/jaimieetkin/macklemore-pays-tribute-to-trayvon-martin-address-racial-pro#7795320298083944421,http://www.buzzfeed.com/chelseamarshall/the-most-important-pugs-of-2013#-845255287526193264,http://www.buzzfeed.com/rosiegray/state-department-reaffirms-iran-status-as-state-sponsor-of-t#-4555936269552332701
http://www.buzzfeed.com/desmondm/chris-lilley-just-gave-the-most-quiche-ama-of-the-5mf6#-8457433020709899466,http://www.buzzfeed.com/food52/how-to-make-best-pimiento-cheese#-6987873489464407387,http://www.buzzfeed.com/elongreen/things-mitt-romney-loves-4yyh#-7585707407047771043
http://www.buzzfeed.com/mattbellassai/reasons-sam-claflin-is-the-hunger-games-tribute-of-your-d#-5371590273440408315,http://www.buzzfeed.com/briangalindo/listen-to-kurt-cobains-haunting-interview-about-alienation-i#-4873907915320532128,http://www.buzzfeed.com/antwaunsargent/most-adorable-beyonce-and-jay-z-moments-of-2013#4640931701995529606
http://www.buzzfeed.com/lyapalater/miley-and-her-virtual-kitten-won-the-amas-the-internet-life#1724599965365575269,http://www.buzzfeed.com/katienotopoulos/proof-that-no-one-watches-porn-on-christmas#-7560803731709592892,http://www.buzzfeed.com/kevintang/10-voicemails-you-get-from-mom#2803777866920126102
http://www.buzzfeed.com/mylestanzer/why-the-kimye-video-is-the-most-pure-expression-of-love-ever#855910304428602424,http://www.buzzfeed.com/ellievhall/22-saddest-selfies-from-people-working-retail-on-black-frida#4210575658162380925,http://www.buzzfeed.com/johnstanton/25-house-democrats-to-white-house-halt-all-deportations#3234720533625221399
http://www.buzzfeed.com/gregs11/child-actors-then-now-4x67#-6061110028302972129,http://www.buzzfeed.com/emilyorley/what-its-like-discussing-scandal-friday-with-co-workers#5304071702282297345,http://www.buzzfeed.com/leonoraepstein/jarring-color-images-of-black-and-white-tv-shows#-6051457497788345642
http://www.buzzfeed.com/ryanhatesthis/theres-a-guy-on-instagram-who-takes-photos-of-himself-wearin#-2693865955188574666,http://www.buzzfeed.com/juliapugachevsky/signs-you-belong-in-a-period-piece-romance#6974682965456338936,http://www.buzzfeed.com/kateaurthur/hunger-games-catching-fire-ending-spoilers#8818401254424731757
http://www.buzzfeed.com/celestinomark/what-does-love-look-like-to-kids#-4119907507314676705,http://www.buzzfeed.com/josephbernstein/the-first-ever-realistic-thanksgiving-simulator#5284658771768213006,http://www.buzzfeed.com/mackenziekruvant/things-este-haims-bassface-looks-like#8291492339996415137
http://www.buzzfeed.com/paulaersly/katniss-everdeens-guide-to-black-friday-shopping#4769374883186930765,http://www.buzzfeed.com/food52/make-ahead-thanksgiving#-6734746606802172606,http://www.buzzfeed.com/tracyclayton/a-cleveland-walmart-is-holding-a-holiday-food-drive-for-its#-6695530731565343788
http://www.buzzfeed.com/mccarricksean/most-inspiring-skeletor-quotes#-6052009723527024896,http://www.buzzfeed.com/mrbriceno/40-things-we-learned-from-the-x-files-gpsu#-4954639704194800817,http://www.buzzfeed.com/tonymerevick/leading-russian-gay-activists-fined-under-federal-propaganda#-4119723926632057541
http://www.buzzfeed.com/lyapalater/things-youre-only-afraid-of-if-you-live-in-new-york#313538770995745243,http://www.buzzfeed.com/chrisgeidner/after-repeal-of-dont-ask-dont-tell-equalitys-sticking-points#4107135591400112780,http://www.buzzfeed.com/hunterschwarz/what-life-was-like-in-the-00s-according-to-high-school-newsp#797198020250097823
http://www.buzzfeed.com/leonoraepstein/vintage-teen-magazine-cover-lines-that-would-never-happen#2767984216184573793,http://www.buzzfeed.com/gregs11/20-doctor-who-parodies-crossovers-4x67#2937877443827975824,http://www.buzzfeed.com/cuties/the-chubbiest-cheeks-on-the-internet#-8996247558509709190
http://www.buzzfeed.com/erikmalinowski/14-guaranteed-facts-about-tom-brady-and-peyton-mannings-14th#-4988405550691002453,http://www.buzzfeed.com/briangalindo/7-celebrities-whose-style-you-totally-wanted-to-copy-in-1998#4020693530511759492,http://www.buzzfeed.com/lesterfeder/activists-stage-kiss-in-in-brooklyn-ikea-to-protest-removal#193940265804590492
http://www.buzzfeed.com/jtes/why-the-rape-girls-are-speaking-out#1991180659421683745,http://www.buzzfeed.com/kevintang/meet-japans-biggest-werewolf-nu-metal-band#-558239582375883503,http://www.buzzfeed.com/josephbernstein/is-this-the-last-great-mario-game#-7911467386854767875
http://www.buzzfeed.com/leonoraepstein/artistic-magic-happens-when-this-5-year-old-illustrates-80s#-8407418302107492811,http://www.buzzfeed.com/emilyhennen/27-reasons-adam-pally-would-literally-make-the-best-friend-e#-859852674401289665,http://www.buzzfeed.com/jacobfischler/11-conversations-that-need-to-be-banned-at-thanksgiving-this#-5555550740158720234
http://www.buzzfeed.com/whitneyjefferson/revelations-from-joe-jonas-essay-on-fame-dating-and-disney#6662132053675714875,http://www.buzzfeed.com/mrloganrhoades/check-out-these-awesome-nba-illustrations-for-espn#-3533551489187800594,http://www.buzzfeed.com/ariellecalderon/this-puppy-would-like-to-tell-you-what-hes-thankful-for#5816907719734872931
http://www.buzzfeed.com/juliapugachevsky/foods-russians-grew-up-with#8971436924728213557,http://www.buzzfeed.com/saeedjones/if-spotify-recommended-hot-guys-instead-of-music#7997497802332186895,http://www.buzzfeed.com/mrbriceno/30-signs-you-grew-up-in-a-mexican-household-gpsu#2761423289697798390
http://www.buzzfeed.com/adamellis/kids-show-characters-who-were-totally-gay-heroes#-8641429494686384965,http://www.buzzfeed.com/erinlarosa/one-direction-midnight-memories-release-party#-8954542383196227081,http://www.buzzfeed.com/lyapalater/the-best-moments-from-miley-cyrus-snl-appearance#-4107616815113427725
http://www.buzzfeed.com/skarlan/15-lessons-we-learned-from-tomboys-in-film-and-television#-2706380488261055078,http://www.buzzfeed.com/donnad/potential-titles-for-the-superman-vs-batman-movie#316118873471511614,http://www.buzzfeed.com/mattbellassai/totally-important-reasons-to-be-proud-of-tom-daley#1525581873151833997
http://www.buzzfeed.com/caraf5/22-naughty-things-the-elf-on-a-shelf-is-doing-whil-eygo#-3553954114817174970,http://www.buzzfeed.com/adambvary/frozen-thanksgiving-box-office-record#6433751744301138570,http://www.buzzfeed.com/jordanzakarin/steve-buscemi-tribute-to-james-gandolfini#-4793021446120360931
http://www.buzzfeed.com/christinebyrne/cheesy-dips-that-will-make-you-swoon#6910449786963544630,http://www.buzzfeed.com/mattbellassai/the-most-life-changing-things-that-happen-when-one-direct#6701810874283053777,http://www.buzzfeed.com/spenceralthouse/find-out-how-much-money-twitter-owes-you#5824268633901534329
http://www.buzzfeed.com/mackenziekruvant/nathan-and-haley-forever#-6270948819223158454,http://www.buzzfeed.com/ailbhemalone/if-bridget-jones-had-instagram#6924923879691466309,http://www.buzzfeed.com/catscarlett/weird-fan-art-of-brian-from-afamily-guya-go1w#-5715033708600240819
http://www.buzzfeed.com/emofly/most-important-food-things-2013#-55632290424172519,http://www.buzzfeed.com/lilytownshend/16-of-the-worst-celebrity-attempts-at-a-music-care-gtl8#-878653810144330230,http://www.buzzfeed.com/mrloganrhoades/the-25-best-buzzer-beaters-of-2013#-5727789675363089741
http://www.buzzfeed.com/adambvary/vin-diesel-posts-brief-and-moving-tribute-to-paul-walker#-3587780755106611344,http://www.buzzfeed.com/emofly/clever-gifts-for-food-lovers#-4981913129838894116,http://www.buzzfeed.com/gavon/a-chihuaha-dressed-as-a-donkey#-6806010298247605864
http://www.buzzfeed.com/lottetregelles/19-ways-nigel-thornberrys-face-makes-great-things-gsqa#1501025698842463360,http://www.buzzfeed.com/erinlarosa/why-its-time-to-stop-watching-the-walking-dead#-4145569327138958399,http://www.buzzfeed.com/ryanhatesthis/people-that-prove-doitforthevine-has-gone-way-too-far#3268853060662638418
http://www.buzzfeed.com/jenlewis/things-you-probably-didnt-know-about-dirty-dancing#-3307455412911221034,http://www.buzzfeed.com/louispeitzman/8-ways-the-originals-has-modeled-itself-after-angel#-6312580437541665057,http://www.buzzfeed.com/garrettjustgarrett/why-meteorology-is-paris-hiltons-true-calling-87fk#-9114073549337991597
