site1,site2,site3
http://www.buzzfeed.com/whitneyjefferson/jay-z-and-beyonce-are-going-vegan-for-22-days#-1019531581756246179,http://www.buzzfeed.com/ellievhall/this-touching-video-of-a-premature-babys-first-year-will-mak#-1124217690699843916,http://www.buzzfeed.com/meganm15/people-who-dont-get-how-lucky-they-are-to-be-meeting-a-sloth#-101989805996603061
http://www.buzzfeed.com/kmallikarjuna/times-coulsons-superpower-was-sass#-1147244294388551036,http://www.buzzfeed.com/adambvary/paul-walker-death-fast-and-furious-7#-1131671462596346709,http://www.buzzfeed.com/josephbernstein/this-is-the-most-uncomfortable-thing-in-the-history-of-the-i#-113906017701365319
http://www.buzzfeed.com/mjkiebus/brady-manning-showdown-lives-up-to-hype-in-frigid-windy-inst#-1226874200063472913,http://www.buzzfeed.com/erikmalinowski/sochi-will-be-the-most-expensive-olympics-ever-winter-or-sum#-1175725975808178952,http://www.buzzfeed.com/andrewkaczynski/norad-santa-wont-recognize-new-chinese-air-defense-zone#-1194626526568214618
http://www.buzzfeed.com/antwaunsargent/times-rihanna-proved-shes-the-worlds-fiercest-pot-head-in#-1315064168687542145,http://www.buzzfeed.com/bennyjohnson/john-kerrys-bro-level-was-out-of-control-after-the-iran-deal#-1291988318186472424,http://www.buzzfeed.com/amandaq6/11-signs-your-dad-is-clark-griswold-during-the-hol-dcqy#-1262541556849409432
http://www.buzzfeed.com/adambvary/marvel-studios-mega-franchise-hollywood#-1336695606697090405,http://www.buzzfeed.com/erinchack/the-type-of-guy-kanye-west-is-according-to-twitter#-1347789513949429760,http://www.buzzfeed.com/kmallikarjuna/these-terrible-toy-rip-offs-will-make-your-day#-1334133116511659657
http://www.buzzfeed.com/peterlauria/two-maps-that-explain-why-comcast-wants-to-buy-time-warner-c#-1375864448343883358,http://www.buzzfeed.com/awesomer/the-greatest-comic-book-moments-of-2013#-137978925693692392,http://www.buzzfeed.com/kellyoakes/21-geeky-things-you-might-not-know-about-beer-explained-by-p#-1376972120497801190
http://www.buzzfeed.com/briangalindo/11-cool-90s-alt-rock-songs-to-get-you-in-the-holiday-spirit#-1401006955365150275,http://www.buzzfeed.com/jenmalise/21-ways-to-tell-if-youre-in-a-relationship-with-y-blt7#-1386288474778917742,http://www.buzzfeed.com/ryanhatesthis/gamestop-employee-allegedly-fired-after-video-goes-viral-of#-1382930325213289406
http://www.buzzfeed.com/jacelacob/how-scandal-turned-into-an-exploration-of-free-will#-1479123621642418793,http://www.buzzfeed.com/regajha/gifts-every-twentysomething-really-wants-to-receive#-1412244754387892609,http://www.buzzfeed.com/awesomer/the-most-touching-photos-ever-taken#-1501181083515798088
http://www.buzzfeed.com/azafar/mapei-dont-wait-interview#-1511035310298328254,http://www.buzzfeed.com/ellievhall/the-veronica-mars-movie-will-hit-theaters-on-march-14#-1533067669794160997,http://www.buzzfeed.com/juliapugachevsky/what-you-need-to-know-about-the-new-carole-king-musical#-1563935464093148140
http://www.buzzfeed.com/jessicamisener/the-most-important-selfies-of-2013#-1571917551953298390,http://www.buzzfeed.com/chelseamarshall/this-puppy-and-baby-are-the-most-adorable-nap-time-pals#-1579694427718618474,http://www.buzzfeed.com/matthewzeitlin/millennials-have-lots-of-student-debt-and-think-its-a-huge-p#-1596038578897116060
